link,description
https://www.chess.com/game/live/41287852603,"queen sac forced back rank mate"
https://www.chess.com/game/live/41293870139,"opp falls into c4 trap to lose queen, then queen sac forced back rank mate"
https://www.chess.com/game/live/41284829945,"scotch gambit e5->dxe5 opp loses queen"
https://www.chess.com/game/live/41214564053,"balanced and uninteresting"
https://www.chess.com/game/live/41289560005,"queen trap"
https://www.chess.com/game/live/41288422593,"nothing special"
https://www.chess.com/game/live/41289029723,"discovered check gets opp queen"
https://www.chess.com/game/live/41218182339,"nothing special"
https://www.chess.com/game/live/41143112623,"nothing special"
https://www.chess.com/game/live/41202063457,"nothing special"
https://www.chess.com/game/live/41202087221,"nothing special"
https://www.chess.com/game/live/41202651135,"greek gift sac -> mate"
https://www.chess.com/game/live/41209228275,"opp tries sac, drops queen"
https://www.chess.com/game/live/41141386951,"nothing special"
https://www.chess.com/game/live/41213352065,"nothing special"
https://www.chess.com/game/live/41197250323,"nothing special"
https://www.chess.com/game/live/41210951563,"nothing special"
https://www.chess.com/game/live/41198477389,"nothing special"
https://www.chess.com/game/live/41141919363,"nothing special"
https://www.chess.com/game/live/41208059371,"nothing special (Re1 pin move 21)"
https://www.chess.com/game/live/41211563335,"nothing special"
https://www.chess.com/game/live/41213410681,"nothing special"
https://www.chess.com/game/live/41203181697,"nothing special"
https://www.chess.com/game/live/41209158603,"decent blitz panov attack"
https://www.chess.com/game/live/41144360305,"nothing special"
https://www.chess.com/game/live/41142529743,"nothing special (queen sac win bishop)"
https://www.chess.com/game/live/41202048731,"nothing special (king camps in the center and gets popped)"
https://www.chess.com/game/live/41143766453,"nothing special"
https://www.chess.com/game/live/41196051205,"nothing special"
https://www.chess.com/game/live/41143170151,"nothing special"
https://www.chess.com/game/live/41199557261,"nothing special"
https://www.chess.com/game/live/41142562917,"nothing special"
https://www.chess.com/game/live/41119733651,"clean scotch gambit"
https://www.chess.com/game/live/41116148975,"simple battery mate"
https://www.chess.com/game/live/41113711835,"clean FE attack"
https://www.chess.com/game/live/41063341769,"opp hangs bishop and queen/rook after castling"
https://www.chess.com/game/live/41063347401,"nothing special"
https://www.chess.com/game/live/41063360075,"nothing special"
https://www.chess.com/game/live/41062174755,"nothing special"
https://www.chess.com/game/live/41109568813,"nice m3"
https://www.chess.com/game/live/41063904415,"nothing special"
https://www.chess.com/game/live/41112022591,"half-decent attack in petrov"
https://www.chess.com/game/live/41111907873,"h4 pawn sac -> greek gift sac -> mate"
https://www.chess.com/game/live/41113728291,"half-decent FE attack"
https://www.chess.com/game/live/41114410517,"rook sac -> massive attack"
https://www.chess.com/game/live/41117337401,"questionable attack"
https://www.chess.com/game/live/41114376435,"nothing special"
https://www.chess.com/game/live/41060980593,"clearance check -> mate"
https://www.chess.com/game/live/41113224791,"nothing special (dancing queen)"
