date,open,high,low,close,volume
2016-11-21,830,1031,765,765,11
2021-02-10,644,734,644,734,2
2021-02-25,660,864,660,859,10
2021-02-26,836,858,771,835,15
2021-02-27,826,859,791,859,22
2021-03-01,867,882,820,820,26
2021-03-02,811,866,810,866,14
2021-03-03,859,902,859,902,10
2021-03-04,895,911,895,911,4
2021-03-05,903,911,862,892,26
2021-03-06,900,924,899,907,16
2021-03-07,899,913,899,913,3
2021-03-08,925,926,913,918,5
2021-03-10,926,926,903,911,7
2021-03-11,919,932,889,922,18
2021-03-12,916,934,903,934,14
2021-03-13,942,942,933,942,3
2021-03-14,950,950,928,928,7
2021-03-15,936,953,921,953,26
2021-03-16,959,989,949,987,16
2021-03-17,995,1004,995,1004,2
2021-03-22,1012,1041,1004,1004,13
2021-03-23,1008,1014,966,975,23
2021-03-25,982,1016,975,1016,12
2021-03-26,1009,1028,994,1001,18
2021-03-29,995,1014,978,1004,13
2021-03-30,1009,1023,1009,1021,6
2021-03-31,1027,1027,970,974,19
2021-04-01,988,1022,975,1006,22
2021-04-03,998,998,984,984,5
2021-04-04,975,982,975,982,2
2021-04-05,984,984,982,982,2
2021-04-06,974,989,974,974,5
2021-04-07,968,1000,955,1000,11
2021-04-08,1005,1005,988,1004,5
2021-04-09,1009,1027,1009,1027,7
2021-04-12,1029,1036,1027,1027,5
2021-04-13,1031,1040,1022,1031,5
2021-04-19,1040,1040,1017,1024,11
2021-04-21,1035,1038,1035,1036,4
2021-04-22,1034,1063,1034,1063,7
2021-05-28,1068,1082,1061,1070,7
2021-05-30,1060,1104,1060,1104,24
2021-06-01,1110,1123,1098,1119,12
2021-06-07,1132,1138,1115,1126,10
2021-06-11,1116,1126,1115,1122,7
2021-06-17,1129,1153,1125,1142,11
2021-07-01,1142,1154,1093,1124,27
2021-07-02,1116,1123,1103,1121,11
2021-07-03,1131,1143,1102,1111,21
2021-07-06,1102,1135,1102,1135,7
2021-07-10,1123,1123,1096,1120,12
2021-12-30,1118,1185,1093,1106,24
2022-01-01,1116,1116,1106,1116,3
2022-01-02,1124,1139,1124,1139,3
2022-01-03,1128,1171,1119,1171,17
2022-01-04,1163,1180,1081,1089,32
2022-01-05,1098,1126,1077,1079,48
2022-01-06,1070,1087,1036,1036,15
2022-01-07,1043,1044,1011,1011,7
2022-01-08,1003,1003,995,995,2
2022-01-16,1002,1002,970,970,10
2022-01-19,962,985,954,970,22
2022-01-20,972,1011,968,1003,30
2022-01-21,1011,1116,1002,1116,71
2022-01-22,1113,1142,1082,1082,15
2022-01-23,1087,1145,1087,1115,22
2022-01-24,1118,1125,1110,1121,8
2022-01-25,1119,1119,1085,1111,19
2022-01-26,1105,1113,1051,1060,20
2022-01-28,1063,1065,1021,1028,20
2022-01-29,1026,1045,1024,1044,11
2022-02-04,1056,1056,1056,1056,1
2022-02-05,1048,1073,1027,1050,46
2022-02-08,1053,1106,1046,1106,12
2022-02-09,1116,1116,1076,1076,5
2022-02-11,1062,1086,1054,1062,24
2022-02-17,1064,1089,1064,1089,13
2022-02-18,1092,1092,1059,1074,10
2022-02-19,1082,1108,1082,1108,8
2022-02-20,1096,1107,1083,1100,12
2022-02-21,1093,1151,1093,1136,13
2022-02-22,1149,1167,1130,1130,14
2022-02-23,1121,1173,1121,1173,14
2022-02-25,1165,1196,1165,1179,10
2022-02-27,1170,1170,1163,1163,2
2022-03-05,1165,1171,1127,1134,17
2022-03-06,1127,1167,1127,1167,12
2022-03-07,1175,1201,1151,1201,10
2022-03-10,1209,1209,1192,1192,3
2022-03-12,1200,1241,1200,1219,9
2022-03-14,1226,1234,1216,1216,8
2022-03-15,1225,1243,1214,1214,14
2022-03-16,1222,1254,1221,1254,23
2022-03-17,1262,1263,1255,1255,3
2022-03-18,1247,1247,1213,1213,9
2022-03-19,1222,1229,1198,1217,14
2022-03-20,1225,1293,1225,1261,16
2022-03-21,1253,1302,1253,1302,11
2022-03-22,1310,1318,1310,1318,2
2022-03-25,1327,1327,1305,1305,4
2022-05-05,1313,1313,1313,1313,1
2022-05-06,1321,1321,1302,1302,8
2022-05-09,1310,1370,1310,1343,19
2022-05-10,1335,1339,1305,1305,11
2022-05-11,1312,1326,1290,1306,11
2022-05-12,1314,1354,1314,1319,17
2022-05-13,1310,1310,1310,1310,1
2022-05-14,1316,1318,1297,1309,18
2022-05-15,1301,1301,1284,1298,5
2022-05-16,1288,1334,1287,1308,19
2022-05-17,1300,1332,1293,1306,18
2022-05-18,1313,1358,1313,1322,22
2022-05-19,1314,1314,1250,1309,41
2022-05-20,1317,1369,1317,1328,21
2022-05-21,1320,1320,1313,1313,2
2022-05-22,1304,1307,1263,1293,29
2022-05-23,1302,1316,1273,1316,25
2022-05-24,1308,1310,1230,1230,32
2022-05-25,1221,1246,1192,1230,32
2022-05-26,1222,1264,1203,1213,19
2022-05-27,1222,1272,1222,1228,39
2022-06-09,1240,1249,1226,1234,14
2022-06-10,1242,1263,1238,1263,7
2022-06-11,1271,1273,1229,1229,22
2022-06-13,1237,1272,1229,1257,9
2022-06-14,1256,1264,1199,1210,21
2022-06-16,1226,1227,1212,1212,5
2022-06-17,1221,1245,1221,1229,10
2022-06-18,1237,1245,1237,1245,4
2022-06-20,1237,1237,1229,1229,2
2022-06-21,1222,1222,1214,1214,2
2022-06-24,1206,1206,1174,1174,7
2022-06-30,1166,1173,1138,1138,11
