date,open,high,low,close,volume
2021-05-28,825,1208,825,1178,33
2021-05-29,1185,1268,1173,1250,41
2021-05-30,1244,1265,1231,1231,12
2021-06-05,1242,1248,1241,1248,3
2021-06-17,1234,1243,1209,1214,8
2021-06-28,1205,1242,1205,1234,16
2021-07-01,1244,1248,1178,1221,38
2022-02-05,1256,1266,1135,1135,15
2022-02-08,1134,1150,1131,1131,5
2022-02-09,1135,1142,1095,1095,6
2022-02-11,1100,1115,1099,1115,6
2022-02-18,1119,1139,1099,1113,21
2022-02-19,1101,1122,1041,1051,23
2022-02-27,1041,1056,1041,1056,3
2022-03-02,1058,1072,1058,1072,5
2022-03-03,1080,1106,1080,1106,6
2022-03-14,1100,1100,1052,1061,13
2022-03-15,1067,1103,1036,1089,53
2022-03-16,1096,1145,1061,1061,85
2022-03-17,1053,1088,1053,1074,9
2022-03-18,1081,1239,1065,1239,75
2022-03-19,1231,1267,1231,1258,7
2022-03-20,1250,1250,1236,1236,3
2022-03-22,1228,1304,1228,1304,18
2022-05-19,1296,1304,1296,1304,2
2022-05-21,1311,1327,1297,1297,11
2022-05-23,1289,1300,1283,1284,6
2022-05-24,1292,1292,1272,1272,4
2022-06-11,1264,1274,1253,1262,16
2022-06-14,1255,1280,1238,1259,14
