date,open,high,low,close,volume
2021-01-13,1126,1126,1126,1126,1
2021-01-14,1034,1136,1034,1136,4
2021-01-18,1087,1126,1087,1126,2
2021-01-27,1171,1171,1171,1171,1
2021-01-29,1114,1181,1075,1093,11
2021-02-10,1072,1088,1067,1088,4
2021-02-17,1105,1117,1087,1117,4
2021-02-22,1117,1130,1117,1130,2
2021-02-23,1145,1145,1105,1116,5
2021-02-24,1128,1140,1119,1138,8
2021-02-25,1128,1128,1086,1086,12
2021-02-26,1093,1107,1092,1106,9
2021-02-27,1114,1114,1114,1114,1
2021-03-01,1105,1105,1089,1105,5
2021-03-02,1098,1115,1098,1114,7
2021-03-03,1106,1113,1091,1099,6
2021-03-04,1105,1127,1105,1124,9
2021-03-05,1135,1135,1101,1101,8
2021-03-06,1093,1101,1084,1084,4
2021-03-07,1091,1122,1079,1122,12
2021-03-08,1129,1139,1125,1138,4
2021-03-09,1147,1175,1137,1175,12
2021-03-10,1181,1201,1181,1183,8
2021-03-11,1191,1191,1167,1175,6
2021-03-12,1182,1199,1168,1168,7
2021-03-13,1160,1160,1151,1152,4
2021-03-14,1160,1160,1160,1160,1
2021-03-15,1151,1174,1151,1174,8
2021-03-17,1181,1200,1170,1200,10
2021-03-22,1208,1224,1208,1224,4
2021-03-23,1215,1215,1203,1203,3
2021-03-26,1211,1211,1202,1202,2
2021-03-29,1211,1251,1194,1251,12
2021-03-30,1258,1259,1241,1259,7
2021-03-31,1268,1268,1247,1263,13
2021-04-01,1254,1278,1254,1278,4
2021-04-03,1270,1270,1263,1263,2
2021-04-04,1271,1271,1271,1271,1
2021-04-05,1263,1272,1263,1272,2
2021-04-06,1281,1289,1273,1289,4
2021-04-07,1297,1306,1297,1306,2
2021-04-09,1315,1315,1315,1315,1
2021-04-12,1308,1310,1301,1310,3
2021-04-13,1301,1301,1286,1286,5
2021-04-18,1277,1284,1269,1284,4
2021-04-20,1291,1291,1291,1291,1
2021-04-21,1284,1286,1271,1280,6
2021-05-03,1272,1272,1263,1263,2
2021-05-11,1271,1271,1271,1271,1
2021-05-12,1263,1264,1240,1264,7
2021-05-13,1271,1288,1255,1288,10
2021-05-15,1296,1297,1280,1297,9
2021-05-16,1305,1305,1305,1305,1
2021-05-17,1296,1343,1289,1343,13
2021-05-18,1336,1337,1321,1328,6
2021-05-19,1336,1336,1336,1336,1
2021-05-20,1344,1344,1344,1344,1
2021-05-21,1352,1352,1352,1352,1
2021-05-22,1343,1358,1343,1358,3
2021-05-24,1366,1366,1366,1366,1
2021-05-25,1375,1375,1375,1375,1
2021-05-26,1368,1368,1360,1368,3
2021-05-27,1375,1375,1375,1375,1
2021-05-28,1367,1367,1351,1351,3
2021-05-29,1360,1370,1353,1362,13
2021-05-30,1370,1370,1344,1344,8
2021-05-31,1337,1346,1320,1343,14
