opening,games,score,white_win_percent,black_win_percent,avg_cp_loss/game,inaccuracies/game,mistakes/game,blunders/game,familiarity,sharpness,best
C22--Center Game (1 e4 e5 2 d4 exd4 3 Qxd4 Nc6),4.0,0.625,,0.6666666666666666,0.6428192818110849,2.5,2.75,1.25,4.840076268252744,0.9722794845840953,4.7059068594444895
B10--Caro-Kann (1 e4 c6),10.0,0.6,0.6,,0.8850811614814162,1.0,2.5,1.6,4.036768142400058,0.6779039325565828,2.736540998552131
C45--Scotch Game (1 e4 e5 2 Nf3 Nc6 3 d4 exd4 4 Nxd4),81.0,0.5864197530864198,0.5735294117647058,0.6666666666666666,1.270100716332926,1.6296296296296295,3.271604938271605,2.135802469135802,5.579126228659234,0.4617112214372644,2.5759451855869333
"B22--Sicilian, Alapin (1 e4 c5 2 c3)",38.0,0.42105263157894735,0.4166666666666667,,1.1098860857795636,2.0,4.078947368421051,2.1052631578947367,5.00420375697209,0.37936562767449034,1.8984228992747596
C41--Philidor Defense (1 e4 e5 2 Nf3 d6),22.0,0.7272727272727273,0.7272727272727273,,1.2185323941277626,1.0909090909090908,3.8181818181818175,2.136363636363636,3.158909486149683,0.5968431621330151,1.885373526605555
B06--Robatsch (1 e4 g6),4.0,0.75,0.75,,0.9429593703148426,1.0,3.75,1.5,2.249282656924715,0.7953683091876845,1.7890081437233933
C40--King's Knight Opening (1 e4 e5 2 Nf3),16.0,0.5625,0.5625,,1.088461821120646,2.125,3.9375,1.5625,3.376242175098034,0.5167843180947475,1.7447890101807644
C47--Four Knights (1 e4 e5 2 Nf3 Nc6 3 Nc3 Nf6),20.0,0.525,0.8,0.2222222222222222,1.1683375781173404,1.35,1.95,1.7,3.2762596030494695,0.44935642731442843,1.4722083101808972
C50--Giuoco Piano (1 e4 e5 2 Nf3 Nc6 3 Bc4 Bc5),23.0,0.6086956521739131,1.0,0.5909090909090909,1.2910739481998783,1.826086956521739,2.8695652173913038,2.5217391304347827,2.877144553838434,0.4714645919566472,1.3564717830757271
B01--Scandinavian (1 e4 d5),77.0,0.5454545454545454,0.4736842105263158,0.5740740740740741,1.6077650306691376,1.9220779220779218,3.1428571428571432,2.363636363636364,3.3946906622667243,0.339262600597509,1.1516915823046892
A40--Queen's Pawn Game (1 d4),14.0,0.6428571428571429,1.0,0.6153846153846154,1.3110641513699626,2.7142857142857144,2.7142857142857144,2.7142857142857144,2.1767879902710736,0.4903323320871873,1.0673495317289972
C00--French Defense (1 e4 e6),20.0,0.5,0.42857142857142855,0.5384615384615384,1.2868395561759267,1.65,3.25,2.65,2.7006368755912153,0.3885488269305609,1.049329289976382
B00--Uncommon King's Pawn Opening (1 e4),15.0,0.6,0.6666666666666666,1.0,1.3054592605578754,1.6666666666666667,3.0,1.8,2.2725789665549483,0.4596083678196099,1.0444963095594957
A06--Reti Opening (1 Nf3 d5),5.0,0.5,,0.5,1.1316419993245526,2.4,3.0,3.4,1.7460910550577275,0.4418358458756717,0.7714856182873752
B12--Caro-Kann Defense (1 e4 c6 2 d4),6.0,0.3333333333333333,0.2,1.0,1.0258416643176291,3.1666666666666665,4.333333333333333,1.8333333333333333,2.3276354209623062,0.3249364350540982,0.7563335557931369
